,Rank,Nickname,Rating,Win,Lose,Win_rate,Kill,Death,K/D,Time_on_Fire,Level,Playtime,Most1,Most2,Most3,Tire
146,147,A2983843821,4104,77.0,57.0,57,22.3,5.9,3.77,79,534,25.0,McCree,Widowmaker,Sigma,147
147,148,SHIA,4102,52.0,33.0,61,21.2,7.0,3.02,71,562,16.0,Mei,Ana,Zarya,148
148,149,Mirage,4102,60.0,58.0,51,22.6,10.0,2.26,49,3118,24.0,Hanzo,Genji,Widowmaker,149
149,150,GomZI,4101,27.0,22.0,55,20.8,8.6,2.41,52,214,11.0,Doomfist,Hanzo,Baptiste,150
150,151,고드름,4098,11.0,6.0,65,19.1,6.4,2.97,52,923,3.0,Doomfist,Zenyatta,Roadhog,151
151,152,아귀,4097,7.0,6.0,54,18.5,10.3,1.81,45,164,3.0,Hanzo,Baptiste,Sigma,152
152,153,TNK,4096,35.0,39.0,47,20.9,10.0,2.1,49,1331,16.0,Mei,Ana,Hanzo,153
153,154,낙타,4095,46.0,52.0,47,16.7,7.9,2.12,56,396,19.0,Sigma,Baptiste,Mei,154
154,155,박대장의멜시현서,4095,129.0,117.0,52,15.6,6.6,2.38,55,497,48.0,Baptiste,Zenyatta,Hanzo,155
155,156,kodonggeon,4091,54.0,40.0,57,17.7,6.7,2.65,37,401,20.0,Baptiste,Orisa,Ana,156
156,157,지니백,4091,152.0,38.0,80,21.6,5.4,3.99,112,109,33.0,Baptiste,Zenyatta,Ana,157
157,158,MingLee,4091,362.0,309.0,54,17.9,8.6,2.07,80,3323,141.0,Lúcio,Ana,Brigitte,158
158,159,netfilx,4090,104.0,99.0,51,18.1,6.7,2.69,86,171,41.0,Baptiste,Zenyatta,Ana,159
159,160,UberMario,4088,14.0,9.0,61,20.6,6.8,3.01,76,710,4.0,Junkrat,Baptiste,Torbjörn,160
160,161,claudio,4088,59.0,50.0,54,21.5,8.6,2.49,53,125,21.0,Widowmaker,McCree,Ana,161
161,162,Sktt1faker,4088,86.0,47.0,65,21.1,7.5,2.8,67,110,26.0,Widowmaker,Hanzo,Ana,162
162,163,muno,4084,26.0,17.0,60,18.4,7.6,2.43,37,194,8.0,Orisa,Hanzo,Baptiste,163
163,164,July14th,4084,163.0,147.0,53,19.3,7.5,2.57,44,419,60.0,Orisa,Wrecking Ball,Sigma,164
164,165,tunapoon,4082,51.0,41.0,55,23.8,6.4,3.75,77,578,17.0,D.Va,Zarya,Ana,165
165,166,Tpa,4081,7.0,27.0,21,14.9,8.6,1.73,24,211,6.0,Hanzo,Widowmaker,Sigma,166
166,167,RamboQUQ,4081,23.0,14.0,62,23.6,8.6,2.75,64,833,7.0,Reinhardt,Zarya,Winston,167
167,168,HĀCK,4080,28.0,33.0,46,15.9,8.1,1.96,36,576,10.0,Doomfist,Hanzo,Sigma,168
168,169,제리,4080,68.0,70.0,49,23.9,8.8,2.73,104,1048,29.0,Widowmaker,Hanzo,McCree,169
169,170,fug,4078,15.0,40.0,27,16.1,8.6,1.89,50,107,9.0,Sigma,McCree,Lúcio,170
170,171,미우미우미우미우,4078,154.0,151.0,50,19.2,6.8,2.81,36,712,59.0,Hanzo,Mei,Genji,171
171,172,Happyjjonak,4076,35.0,32.0,52,18.6,6.5,2.86,79,181,13.0,Sigma,Baptiste,Zenyatta,172
172,173,프로지망생용현이,4076,116.0,84.0,58,16.7,7.3,2.28,59,280,40.0,Ana,Baptiste,Tracer,173
173,174,onlyr3ap3r,4075,56.0,55.0,50,19.8,7.5,2.65,49,173,22.0,Reinhardt,Winston,Wrecking Ball,174
174,175,Shovelhook,4074,53.0,46.0,54,20.8,8.2,2.52,69,1412,19.0,Sigma,Reaper,D.Va,175
175,176,짬뽕장인배짬뽕,4074,65.0,60.0,52,20.2,8.1,2.48,57,302,26.0,Baptiste,Hanzo,Widowmaker,176
176,177,Tydolla,4073,106.0,96.0,52,18.5,6.8,2.71,57,1497,38.0,D.Va,Ana,Zarya,177
177,178,SECONDV4NSA,4072,37.0,31.0,54,22.1,6.8,3.27,60,1008,13.0,Mei,Hanzo,Genji,178
178,179,Elva,4071,87.0,64.0,58,16.1,8.0,2.01,80,357,30.0,Ana,Roadhog,Brigitte,179
179,180,학살,4071,98.0,107.0,48,20.7,9.1,2.27,57,1524,42.0,Genji,Hanzo,Widowmaker,180
180,181,pal2tte,4070,184.0,179.0,51,19.8,8.4,2.35,44,483,71.0,Hanzo,Mei,Tracer,181
181,182,michinnom,4068,86.0,61.0,59,20.0,7.2,2.77,62,289,29.0,Sigma,Reinhardt,Ana,182
182,183,김준영,4064,39.0,40.0,49,17.9,7.7,2.34,33,259,16.0,Reinhardt,Torbjörn,D.Va,183
183,184,이무정1996,4064,61.0,51.0,54,15.0,8.2,1.83,42,212,25.0,Reinhardt,Ana,Orisa,184
184,185,Nirage,4064,123.0,122.0,50,22.2,9.2,2.41,48,3142,52.0,Winston,Genji,Reinhardt,185
185,186,elllrazor,4062,173.0,158.0,52,23.2,7.3,3.19,52,2108,67.0,Orisa,Wrecking Ball,Winston,186
186,187,승민유튜브구독,4061,25.0,15.0,61,22.6,6.7,3.35,91,191,8.0,Sigma,McCree,Orisa,187
187,188,공격브리수비정크,4060,31.0,25.0,55,16.0,9.0,1.78,21,99,11.0,Junkrat,Orisa,Brigitte,188
188,189,Fr0zen,4060,90.0,94.0,49,17.5,6.0,2.92,54,1192,36.0,Ana,Genji,Orisa,189
189,190,아름다운퀸,4059,12.0,11.0,52,19.9,6.1,3.25,60,1729,4.0,Winston,Baptiste,Sigma,190
190,191,CIH,4056,67.0,69.0,49,19.8,6.6,3.01,89,1332,27.0,Moira,Lúcio,Ana,191
191,192,m1nute,4054,26.0,33.0,44,14.4,8.9,1.63,17,67,11.0,Widowmaker,Genji,Brigitte,192
192,193,퇴물장승식,4054,40.0,26.0,61,20.9,6.1,3.4,71,519,12.0,McCree,Widowmaker,Sigma,193
193,194,블쟈대옵치학과,4053,14.0,24.0,37,14.9,7.8,1.9,30,1592,7.0,Orisa,Brigitte,Torbjörn,194
194,195,F91,4053,52.0,56.0,48,22.3,7.9,2.83,70,861,20.0,Doomfist,Sigma,Zarya,195
195,196,Blueming,4051,43.0,47.0,48,14.3,7.2,1.99,46,447,16.0,Baptiste,Hanzo,Zenyatta,196
196,197,wrestling,4050,40.0,51.0,44,20.5,10.3,1.98,44,284,19.0,Hanzo,Tracer,Mei,197
197,198,Ｒｏｄｒｉ,4050,48.0,42.0,53,21.4,9.2,2.33,47,93,17.0,Orisa,Wrecking Ball,Ana,198
198,199,Plit,4049,98.0,77.0,56,18.6,7.0,2.66,51,441,33.0,Tracer,Ana,Zenyatta,199
199,200,YellowJello,4049,125.0,116.0,52,23.1,8.0,2.88,75,411,50.0,Sombra,Brigitte,Hanzo,200
